Code, Super Admin, User, Instructor
create_blogcategory, Y, Y, Y 
read_blogcategory, Y, Y, Y 
update_blogcategory, Y, Y, Y 
delete_blogcategory, Y, Y, Y 
create_blogpost, Y, Y, Y 
read_blogpost, Y, Y, Y 
update_blogpost, Y, Y, Y 
delete_blogpost, Y, Y, Y 
create_category, Y, Y, Y 
read_category, Y, Y, Y 
update_category, Y, Y, Y 
delete_category, Y, Y, Y 
create_contactus, Y, Y, Y 
read_contactus, Y, Y, Y 
update_contactus, Y, Y, Y 
delete_contactus, Y, Y, Y 
create_coursediscount, Y, Y, Y 
read_coursediscount, Y, Y, Y 
update_coursediscount, Y, Y, Y 
delete_coursediscount, Y, Y, Y 
create_courselanguage, Y, Y, Y 
read_courselanguage, Y, Y, Y 
update_courselanguage, Y, Y, Y 
delete_courselanguage, Y, Y, Y 
create_coursereview, Y, Y, Y 
read_coursereview, Y, Y, Y 
update_coursereview, Y, Y, Y 
delete_coursereview, Y, Y, Y 
create_coursetag, Y, Y, Y 
read_coursetag, Y, Y, Y 
update_coursetag, Y, Y, Y 
delete_coursetag, Y, Y, Y 
create_course, Y, Y, Y 
read_course, Y, Y, Y 
update_course, Y, Y, Y 
delete_course, Y, Y, Y 
create_datalookup, Y, Y, Y 
read_datalookup, Y, Y, Y 
update_datalookup, Y, Y, Y 
delete_datalookup, Y, Y, Y 
create_educationplace, Y, Y, Y 
read_educationplace, Y, Y, Y 
update_educationplace, Y, Y, Y 
delete_educationplace, Y, Y, Y 
create_educationfield, Y, Y, Y 
read_educationfield, Y, Y, Y 
update_educationfield, Y, Y, Y 
delete_educationfield, Y, Y, Y 
create_educationlevel, Y, Y, Y 
read_educationlevel, Y, Y, Y 
update_educationlevel, Y, Y, Y 
delete_educationlevel, Y, Y, Y 
create_enrolment, Y, Y, Y 
read_enrolment, Y, Y, Y 
update_enrolment, Y, Y, Y 
delete_enrolment, Y, Y, Y 
create_instructorreview, Y, Y, Y 
read_instructorreview, Y, Y, Y 
update_instructorreview, Y, Y, Y 
delete_instructorreview, Y, Y, Y 
create_instructor, Y, Y, Y 
read_instructor, Y, Y, Y 
update_instructor, Y, Y, Y 
delete_instructor, Y, Y, Y 
create_jobapplication, Y, Y, Y 
read_jobapplication, Y, Y, Y 
update_jobapplication, Y, Y, Y 
delete_jobapplication, Y, Y, Y 
create_jobacategory, Y, Y, Y 
read_jobacategory, Y, Y, Y 
update_jobacategory, Y, Y, Y 
delete_jobacategory, Y, Y, Y 
create_joblocation, Y, Y, Y 
read_joblocation, Y, Y, Y 
update_joblocation, Y, Y, Y 
delete_joblocation, Y, Y, Y 
create_jobpost, Y, Y, Y 
read_jobpost, Y, Y, Y 
update_jobpost, Y, Y, Y 
delete_jobpost, Y, Y, Y 
create_language, Y, Y, Y
read_language, Y, Y, Y
update_language, Y, Y, Y
delete_language, Y, Y, Y
create_lesson, Y, Y, Y 
read_lesson, Y, Y, Y 
update_lesson, Y, Y, Y 
delete_lesson, Y, Y, Y 
create_module, Y, Y, Y 
read_module, Y, Y, Y 
update_module, Y, Y, Y 
delete_module, Y, Y, Y 
create_paymentmethod, Y, Y, Y 
read_paymentmethod, Y, Y, Y 
update_paymentmethod, Y, Y, Y 
delete_paymentmethod, Y, Y, Y 
create_payment, Y, Y, Y 
read_payment, Y, Y, Y 
update_payment, Y, Y, Y 
delete_payment, Y, Y, Y 
create_permission, Y, Y, Y 
read_permission, Y, Y, Y 
update_permission, Y, Y, Y 
delete_permission, Y, Y, Y 
create_prerequisite, Y, Y, Y 
read_prerequisite, Y, Y, Y 
update_prerequisite, Y, Y, Y 
delete_prerequisite, Y, Y, Y 
create_resource, Y, Y, Y 
read_resource, Y, Y, Y 
update_resource, Y, Y, Y 
delete_resource, Y, Y, Y 
create_rolepermission, Y, Y, Y  
read_rolepermission, Y, Y, Y
update_rolepermission, Y, Y, Y
delete_rolepermission, Y, Y, Y
create_role, Y, Y, Y 
read_role, Y, Y, Y 
update_role, Y, Y, Y 
delete_role, Y, Y, Y 
create_section, Y, Y, Y 
read_section, Y, Y, Y 
update_section, Y, Y, Y 
delete_section, Y, Y, Y 
create_service, Y, Y, Y 
read_service, Y, Y, Y 
update_service, Y, Y, Y 
delete_service, Y, Y, Y 
create_session, Y, Y, Y 
read_session, Y, Y, Y 
update_session, Y, Y, Y 
delete_session, Y, Y, Y 
create_student, Y, Y, Y 
read_student, Y, Y, Y 
update_student, Y, Y, Y 
delete_student, Y, Y, Y 
create_tag, Y, Y, Y 
read_tag, Y, Y, Y 
update_tag, Y, Y, Y 
delete_tag, Y, Y, Y 
create_user, Y, Y, Y 
read_user, Y, Y, Y 
update_user, Y, Y, Y 
delete_user, Y, Y, Y 
create_employee, Y, Y, Y 
read_employee, Y, Y, Y 
update_employee, Y, Y, Y 
delete_employee, Y, Y, Y 